The old Worcester jug	Eglanton Thorne	75600
The truth about the tobacco habit	T. Swann Harding	75599
The Problem Club	Barry Pain	75598
Suurvallat I	Rudolf Kjellén	75597	Finnish
The belle of a season	Countess of Blessington	75596
Raakaleenkorjuu	Sheila Kaye-Smith	75595	Finnish
Luostarin metsästäjä	Lauri Sauramo	75594	Finnish
John Long's journal, 1768-1782	Indian trader J. Long	74493
Auf alten Wegen	Otto Buchmann	75592	German
Das Lagerkind	Charlotte Niese	75591	German
The Journal of George Fox, Vol. 2 of 2	75590
The dark eyes of London	Edgar Wallace	75589
Die Friedensburg bei Leutenberg	Berthold Rein	75588	German
A creel of Irish stories	Jane Barlow	75587
Babe Ruth's own book of baseball	George Herman Ruth	75586
Flecker's magic	Norman H. Matson	75585
Cap'n Jonah's fortune	James A. Cooper	75584
The informer	Liam O'Flaherty	75583
A fehér páva	Ferenc Herczeg	75582	Hungarian
Comment je suis arrivé à croire	Docteur Francus	75581	French
Affairs of West Africa	Edmund Dene Morel	75580
La morta	Pompeu Crehuet	75579	Catalan
Poems of childhood	Eugene Field and Mary French Field	75578
Footprints	Kay Cleaver Strahan	75577
The old Stanfield house	Lucy Ellen Guernsey	75576
Lord Lister No. 0125: Een vreemde geschiedenis	Kurt Matull and	75575	Dutch
Van het toovervischje	Leopold	75574	Dutch
Nuorten tuomio	Lauri Haarla	75573	Finnish
Muuan katuvallankumous	Knut Hamsun	75572	Finnish
Symptoms of being 35	Ring W. Lardner	75571
Psychology of the stock market	George Charles Selden	75570
Als ich noch der Waldbauernbub war. 2. Band.	Peter Rosegger	75569	German
Franz Schuberts Lebenslied	Joseph August Lux	75568	German
Highland annals	Olive Tilford Dargan	75567
Visibility--Zero	John Amid	75566
The man with a grouch	H. De Vere Stacpoole	75565
The puzzle of life	Arthur Nicols	75564
Cedar chests, how to make them	Ralph F. Windoes	75563
The Assassination Bureau, Ltd.	Jack London and Robert L. Fish	75562
Some old masters of Greek architecture	Harry Douglas	75561
A-B-C of housekeeping	Christine Terhune Herrick	75560
The journal of George Fox, Vol. 1 of 2	75559
Cavalry life in tent and field	Mrs. Orsemus Bronson Boyd	75558
Merely the patient	Henry Howard Harper	75557
Little Metacomet	Hezekiah Butterworth	75556
Aphorismes du temps présent	Gustave Le Bon	75555	French
L'avision de Christine	Christine de Pisan	75554	French
Among the camps	Thomas Nelson Page	75553
Wild oats	James Oppenheim	75552
Reminiscences of the South Seas	John La Farge	75551
Poppy Ott and the stuttering parrot	Leo Edwards	75550
Légendes canaques	Georges Baudoux	75549	French
A Time of terror	Douglas Morey Ford	75548
Beauvallet	Georgette Heyer	75547
The real Mackay	Donald A. Mackenzie	75546
The romance of comets	Mary Proctor	75545
Peer Gynt	Henrik Ibsen	75544	Finnish
An illustrated commentary on the Gospel according to St. John,	75543
The coins of India	C. J. Brown	75542
Jungen	Hans Aanrud	75541	German
Pieter Bruegel the elder	Virgil Barker	75540
From the four winds	John Sinjohn	75539
Bog-land studies	Jane Barlow	75538
Wurra-Wurra	Curtis Dunham	75537
Vanhankansan tapoja ja taikoja	A. Th. Böök	75536
Keski-Hämeestä 1800-luvulta	Finnish
Onni maallinen	Lauri Haarla	75535	Finnish
The Nile quest	Harry Hamilton Johnston	75534
Greek wayfarers, and other poems	Edwina Stanton Babcock	75533
Sonderlinge	Peter Rosegger	75532	German
Ladies' dress shoes of the nineteenth century	T. Watson Greig	75531
A high wind in Jamaica	Richard Hughes	75530
Deirdre wed and other poems	Herbert Trench	75529
Essays towards the history of painting	Maria Callcott	75528
Poems	Marie Van Vorst	75527
The Victim and The Worm	Phyllis Bottome	75526
Die vom Niederrhein	Rudolf Herzog	75525	German
The roving critic	Carl Van Doren	75524
The achievements of Luther Trant	Edwin Balmer and William MacHarg	75523
The soldier's orphans	Ann S. Stephens	75522	Nepali
Les gràcies de lEmpordà	Pere Corominas	75521	Catalan
Longshanks	Stephen W. Meader	75520
The Hunterian lectures on colour-vision and colour-blindness,	75519
The just steward	Richard Dehan	75518
Vingt jours en Tunisie	Paul Arène	75517	French
A book of dear dead women	Edna Worthley Underwood	75516
Blackwood's Edinburgh Magazine, Vol. 67, No. 415, May, 1850	Various	75515
Näkymätön kirjanpitäjä	Maila Talvio	75514	Finnish
Koulukaskuja	Veli Bonifacius	75513	Finnish
The life and adventures of a cat	Anonymous	75512
A lyttel booke of nonsense	R. D.	75511
Da Sassari a Cagliari e viceversa	Enrico Costa	75510	Italian
Carolyn of the sunny heart	Ruth Belmore Endicott and	75509
Life, the Interpreter	Phyllis Bottome	75508
Pistols for two	Owen Hatteras	75507
Asphodel	Mary Elizabeth Braddon	75506
The nature of man	Élie Metchnikoff	75505
Gustaf Fröding	Ida Bäckmann	75504	Swedish
Knitting: how to knit and what to knit	Marie Louise Kerzman	75503
La Cour d'Assises, ses pompes et ses œuvres	René Benjamin	75502	French
Gedichte	Otto Ernst	75501	German
Murder	the clock	Rufus King	75500
The star jewels and other wonders	Abbie Farwell Brown	75499
Blackwood's Edinburgh Magazine, Vol. 67, No. 413, March, 1850,	75498
The Lady of the Isle	Emma Dorothy Eliza Nevitte Southworth	75497
Työlakko	Urho Haapanen	75496	Finnish
Dolores parka	Fernan Caballero and Selma Anttila	75495	Finnish
The workwoman's guide	Josepha Buell Hale	75494
The lazy detective	George Dilnot	75493
The Dancing Faun	Florence Farr	75492
Giants in the Earth	Ole Edvart Rölvaag	75491
D'Eon de Beaumont, his life and times	Octave Homberg	75490
Poems	Josephine Daskam Bacon	75489
The Purple Sickle murders	Freeman Wills Crofts	75488
Deeds of heroism and bravery	Elwyn A. Barron	75487
Scotch marriages, vol. 1	Sarah Tytler	75486
The secret commonwealth of elves, fauns and fairies	Robert Kirk	75485
Anthropoid apes	Robert Hartmann	75484
Le spectre de M. Imberger	Frédéric Boutet	75483	French
Maisie's merry Christmas	Nina Rhoades	75482
Teltantekijän lauselmia	Omar Khaijam	75481	Finnish
Isä Johannes	Lauri Sauramo	75480	Finnish
Willow's forge	Sheila Kaye-Smith	75479
The crystal planetoids	Stanton A. Coblentz	75478
The sprightly romance of Marsac	Molly Elliott Seawell	75477
The poisoned chocolates case	Anthony Berkeley	75476
The girl he left behind	Helen Beecher Long	75475
Three little Trippertrots	Howard Roger Garis	75474
Brazil, the land of rubber	Brazilian Government	75473
and allied trades exhibition, New York, 1912
Vida de Don Quijote y Sancho : según Miguel de Cervantes Saavedra,	75472	Spanish
